"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.01.2023","238,65","231,50","243,00","230,20","0,03K","2,87%"
"30.01.2023","232,00","230,00","233,45","228,00","0,01K","1,00%"
"27.01.2023","229,70","223,30","230,15","220,55","0,02K","3,00%"
"26.01.2023","223,00","217,50","223,45","217,50","0,01K","3,26%"
"25.01.2023","215,95","212,35","216,90","212,35","0,43K","2,66%"
"24.01.2023","210,35","210,50","212,50","209,50","0,23K","-0,31%"
"23.01.2023","211,00","205,50","211,00","205,15","0,01K","2,98%"
"20.01.2023","204,90","203,20","205,10","202,15","0,00K","0,27%"
"19.01.2023","204,35","204,50","205,50","203,20","0,02K","1,16%"
"18.01.2023","202,00","201,90","205,00","201,50","0,01K","0,10%"
"17.01.2023","201,80","200,50","202,95","200,00","0,01K","1,41%"
"16.01.2023","199,00","200,15","201,30","199,00","0,01K","-0,57%"
"13.01.2023","200,15","198,50","201,80","196,50","0,00K","1,60%"
"12.01.2023","197,00","196,20","199,50","193,35","0,01K","1,42%"
"11.01.2023","194,25","196,80","199,95","191,75","0,01K","-2,70%"
"10.01.2023","199,65","206,50","206,80","198,35","0,03K","-3,46%"
"09.01.2023","206,80","209,90","210,00","206,20","0,00K","-0,34%"
"06.01.2023","207,50","209,85","210,00","206,10","0,29K","-0,24%"
"05.01.2023","208,00","209,05","213,00","208,10","0,24K","-0,76%"
"04.01.2023","209,60","215,45","215,50","208,50","0,01K","-2,51%"
"03.01.2023","215,00","215,90","219,55","214,15","0,41K","-0,37%"
"02.01.2023","215,80","218,10","218,10","215,55","0,01K","-1,15%"
"29.12.2022","218,30","220,00","221,25","216,70","0,01K","-0,91%"
"28.12.2022","220,30","217,45","222,65","217,00","0,01K","1,61%"
"27.12.2022","216,80","220,00","220,60","214,40","0,01K","-1,45%"
"26.12.2022","220,00","222,00","222,00","218,30","0,01K","0,23%"
"23.12.2022","219,50","215,60","219,80","215,60","0,01K","2,33%"
"22.12.2022","214,50","215,05","217,00","213,00","0,26K","-0,72%"
"21.12.2022","216,05","216,00","217,00","214,70","0,00K","0,26%"
"20.12.2022","215,50","215,05","215,50","215,05","0,01K","1,58%"
"19.12.2022","212,15","212,15","212,15","212,15","","-0,07%"
"16.12.2022","212,30","212,30","212,30","212,30","","-4,37%"
"15.12.2022","222,00","222,00","222,00","222,00","","1,95%"
"14.12.2022","217,75","217,75","217,75","217,75","","0,69%"
"13.12.2022","216,25","216,25","216,25","216,25","","0,49%"
"12.12.2022","215,20","215,20","215,20","215,20","","5,59%"
"09.12.2022","203,80","203,80","203,80","203,80","","0,54%"
"08.12.2022","202,70","202,70","202,70","202,70","","-0,52%"
"07.12.2022","203,75","203,75","203,75","203,75","","-2,14%"
"06.12.2022","208,20","208,20","208,20","208,20","","0,58%"
"05.12.2022","207,00","207,00","207,00","207,00","","0,00%"
"02.12.2022","207,00","206,50","207,50","204,70","0,03K","-1,03%"
"01.12.2022","209,15","214,00","217,25","208,90","0,03K","-1,23%"
"30.11.2022","211,75","210,00","212,15","208,25","0,10K","3,57%"
"29.11.2022","204,45","205,75","209,95","205,10","0,25K","4,07%"
"28.11.2022","196,45","200,00","202,00","197,65","0,06K","-1,78%"
"25.11.2022","200,00","198,50","202,00","196,65","0,00K","2,17%"
"24.11.2022","195,75","195,50","197,55","195,50","0,05K","0,00%"
"23.11.2022","195,75","198,00","200,95","195,10","0,16K","-1,14%"
"22.11.2022","198,00","192,85","198,70","192,85","0,35K","1,54%"
"21.11.2022","195,00","190,50","195,00","190,45","0,20K","2,20%"
"18.11.2022","190,80","189,55","196,00","188,00","0,01K","-0,78%"
"17.11.2022","192,30","194,15","194,20","190,00","0,48K","-0,95%"
"16.11.2022","194,15","204,00","204,65","193,05","0,00K","-4,85%"
"14.11.2022","204,05","202,25","204,75","197,75","0,03K","0,52%"
"11.11.2022","203,00","200,80","208,15","200,50","0,02K","-0,27%"
"10.11.2022","203,55","197,00","204,00","194,95","0,59K","2,99%"
"09.11.2022","197,65","198,50","201,35","197,00","0,49K","-0,78%"
"08.11.2022","199,20","202,95","203,90","196,75","0,02K","-2,31%"
"07.11.2022","203,90","204,00","205,30","199,35","0,03K","-1,69%"
"04.11.2022","207,40","204,75","210,50","204,75","0,02K","1,84%"
"03.11.2022","203,65","207,80","207,80","202,00","0,56K","-1,97%"
"01.11.2022","207,75","210,95","213,25","207,15","0,00K","-1,07%"
"31.10.2022","210,00","205,75","210,95","205,75","0,02K","3,47%"
"28.10.2022","202,95","211,40","212,00","200,00","0,03K","-3,86%"
"27.10.2022","211,10","213,50","218,00","210,00","0,02K","-0,14%"
"26.10.2022","211,40","217,50","220,00","210,00","0,04K","-2,96%"
"25.10.2022","217,85","222,95","223,10","217,85","0,03K","-3,31%"
